1_q	خماسي كلوريد الزرنيخ مركب كيميائي له الصيغة (كلمة ناقصة) ، ويكون على شكل بلورات بيضاء. 
6_q_triples	 دورانغو -- تصنيف كومنز -- Durango ; دورانغو -- البلد -- إسبانيا ; دورانغو -- الرمز البريدي -- 48200 ; دورانغو -- حالة خاصة من -- قائمة مدن إسبانيا ; دورانغو -- رئيس الحكومة -- Aitziber Irigoras Alberdi ; دورانغو -- مكانة في التقسيم الإداري -- بيسكاي ; دورانغو -- يشترك في الحدود مع -- أباداينو ; دورانغو -- يشترك في الحدود مع -- أيوريتا ; دورانغو -- يشترك في الحدود مع -- إيزورتزوا ; دورانغو -- يشترك في الحدود مع -- منياريا ; دورانغو -- يشترك في الحدود مع -- دايما ; دورانغو -- يشترك في الحدود مع -- أموريبايتا-إيتكسانو ; دورانغو -- منصب رأس الحكومة -- mayor of Durango ; دورانغو -- المنطقة الزمنية -- ت ع م+01:00 ;
7_q	بوشيني كناري (الاسم العلمي:P uccinia (كلمة ناقصة)) هو نوع من الفطريات يتبع جنس البوشيني من فصيلة البوشينية. 
7_q_triples	 بوشيني كناري -- المرتبة التصنيفية -- نوع ; بوشيني كناري -- الاسم العلمي للأصنوفة -- Puccinia ; بوشيني كناري -- حالة خاصة من -- أصنوفة ; بوشيني كناري -- اﻷصنوفة اﻷعلى -- شقران ;
8_q	توماس باتريك مور (بالإنجليزية: Thomas (كلمة ناقصة)) (و. 
8_q_triples	 توماس باتريك مور -- الجنس -- ذكر ; توماس باتريك مور -- مكان الولادة -- مقاطعة شارلوت ; توماس باتريك مور -- بلد المواطنة -- الولايات المتحدة الأمريكية ; توماس باتريك مور -- المهنة -- سياسي ; توماس باتريك مور -- المهنة -- دبلوماسي ; توماس باتريك مور -- المنصب -- عضو مجلس النواب الأمريكي ; توماس باتريك مور -- حالة خاصة من -- إنسان ; توماس باتريك مور -- الاسم  الأول -- توماس ; توماس باتريك مور -- عضو في حزب سياسي -- الحزب الديمقراطي الأمريكي ; توماس باتريك مور -- تعلم في -- جامعة ترانسيلفانيا ; توماس باتريك مور -- الاسم باللغة الأصلية -- Thomat ; توماس باتريك مور -- اللغات المحكية أو المكتوبة -- الإنجليزية ; توماس باتريك مور -- مكان العمل -- واشنطن العاصمة ;
9_q	بوشيني مائل (الاسم العلمي:P uccinia (كلمة ناقصة)) هو نوع من الفطريات يتبع جنس البوشيني من فصيلة البوشينية. 
9_q_triples	 بوشيني مائل -- المرتبة التصنيفية -- نوع ; بوشيني مائل -- الاسم العلمي للأصنوفة -- Puccinia ; بوشيني مائل -- حالة خاصة من -- أصنوفة ; بوشيني مائل -- اﻷصنوفة اﻷعلى -- شقران ;
10_q	دينار ((رقم ناقص) مارس (عام) -) ، ممثلة سورية. 
10_q_triples	 دينار -- حالة خاصة من -- إنسان ; دينار -- الجنس -- أنثى ;
11_q	جرعل هي إحدى قرى عزلة مكيراس بمديرية مكيراس التابعة لمحافظة البيضاء ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب تعداد اليمن لعام (عام). 
11_q_triples	 جرعل -- حالة خاصة من -- مستوطنة بشرية ; جرعل -- البلد -- اليمن ;
12_q	القابلة هي إحدى قرى عزلة بنى سعد بمديرية وشحة التابعة لمحافظة حجة ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب تعداد اليمن لعام (عام). 
12_q_triples	 القابلة -- حالة خاصة من -- مستوطنة بشرية ; القابلة -- البلد -- اليمن ; القابلة -- مكانة في التقسيم الإداري -- مديرية وشحة ;
13_q	قصب السكر الزغابي (الاسم العلمي: Ajuga (كلمة ناقصة)) هو نوع من النباتات يتبع جنس الوعلان من الفصيلة الشفوية. 
13_q_triples	 قصب السكر الزغابي -- الاسم العلمي للأصنوفة -- Saccharum  ; قصب السكر الزغابي -- المرتبة التصنيفية -- نوع  ; قصب السكر الزغابي -- حالة خاصة من -- أصنوفة  ; قصب السكر الزغابي -- اﻷصنوفة اﻷعلى -- قصب السكر  
14_q	أولاد ڭناو هي قرية مغربية شمال المملكة. 
14_q_triples	 أولاد ڭناو -- البلد -- المغرب ; أولاد ڭناو -- حالة خاصة من -- جماعة قروية مغربية ; أولاد ڭناو -- مكانة في التقسيم الإداري -- إقليم بني ملال ; أولاد ڭناو -- الاسم الرسمي -- Ouled ;
15_q	سباس-كلبيكي (بالروسية: (كلمة ناقصة)) هي إحدى مدن روسيا في الكيان الفدرالي الروسي (كلمة ناقصة). 
15_q_triples	 سباس-كلبيكي -- تصنيف كومنز -- Spat-Klepiki ; سباس-كلبيكي -- البلد -- روسيا ; سباس-كلبيكي -- حالة خاصة من -- مدينة ; سباس-كلبيكي -- حالة خاصة من -- كيان إداري إقليمي في روسيا ; سباس-كلبيكي -- الرمز البريدي -- 391030 ; سباس-كلبيكي -- عاصمة لـ -- Klepikovsky District ;
16_q	دير علا هي بلدة تقع في جنوب غرب إيران. 
16_q_triples	 دير علا -- البلد -- الأردن ; دير علا -- حالة خاصة من -- قرية أردنية ; دير علا -- يقال أنه نفسه -- Pethor ;
17_q	بيت الوريصة هي إحدى قرى عزلة (كلمة ناقصة) بمديرية ملحان التابعة لمحافظة المحويت ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب تعداد اليمن لعام (عام). 
17_q_triples	 بيت الوريصة -- حالة خاصة من -- مستوطنة بشرية ; بيت الوريصة -- البلد -- اليمن ; بيت الوريصة -- مكانة في التقسيم الإداري -- عزلة الفجرة (إب) ;
18_q	جان احمد (مقاطعة غيلانغرب) (بالإنجليزية: (كلمة ناقصة)) هي قرية تقع في منطقة مركزية ريفية في إيران. 
18_q_triples	 جان احمد -- حالة خاصة من -- قرية ; جان احمد -- البلد -- إيران ; جان احمد -- مكانة في التقسيم الإداري -- قسم تشنارود الشمالي الريفي ;
19_q	بيز بيان غراند (بالإنجليزية: Piz (كلمة ناقصة)) هو أحد جبال سلسلة جبال الألب ليبونتيني ويقع في كانتون غراوبوندن في سويسرا. 
19_q_triples	 بيز بيان غراند -- حالة خاصة من -- جبل ; بيز بيان غراند -- مكانة في التقسيم الإداري -- كانتون غراوبوندن ; بيز بيان غراند -- البلد -- سويسرا ; بيز بيان غراند -- جزء من -- جبال الألب ليبونتيني ; بيز بيان غراند -- تضاريس الموقع -- جبال الألب ليبونتيني ;
20_q	بيتش باتوم (أوهايو) (بالإنجليزية: (كلمة ناقصة), Ohio) هي منطقة سكنية تقع في الولايات المتحدة في (كلمة ناقصة). 
20_q_triples	 بيتش باتوم -- البلد -- الولايات المتحدة الأمريكية ; بيتش باتوم -- مكانة في التقسيم الإداري -- Brooke County ; بيتش باتوم -- حالة خاصة من -- قرية (الولايات المتحدة الأمريكية) ;
21_q	أنا بطلك (بالإنجليزية: (كلمة ناقصة)) هو فيلم هندي تم إنتاجه في الهند وصدر في سنة (عام). 
21_q_triples	 أنا بطلك -- حالة خاصة من -- فيلم ; أنا بطلك -- اللغة الأصلية للعمل -- الهندية ; أنا بطلك -- المخرج -- ديفيد دهاوان ; أنا بطلك -- عضو طاقم تمثيل -- فارون دهاوان ; أنا بطلك -- عضو طاقم تمثيل -- إليانا دي كروز ; أنا بطلك -- عضو طاقم تمثيل -- نرجس فخري ; أنا بطلك -- بلد المنشأ -- الهند ; أنا بطلك -- الملحن -- Sajid-Wajid ; أنا بطلك -- المنتج -- Shobha Kapoor ; أنا بطلك -- الراوي -- فارون دهاوان ; أنا بطلك -- الموزع -- تي سيريز ; أنا بطلك -- لون هذا العنصر -- فيلم بالألوان ;
22_q	العقام هي إحدى قرى عزلة مكيراس بمديرية مكيراس التابعة لمحافظة البيضاء ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب تعداد اليمن لعام (عام). 
22_q_triples	 العقام -- حالة خاصة من -- مستوطنة بشرية ; العقام -- البلد -- اليمن ;
23_q	ساتشابفيرشيم (بالفرنسية: (كلمة ناقصة)) هي بلدية تقع في إقليم الراين الأسفل من منطقة ألزاس في شمال شرق فرنسا. 
23_q_triples	 ساتشابفيرشيم -- تصنيف كومنز -- Schaeffertheim ; ساتشابفيرشيم -- البلد -- فرنسا ; ساتشابفيرشيم -- مكانة في التقسيم الإداري -- canton of Erstein ; ساتشابفيرشيم -- مكانة في التقسيم الإداري -- الراين الأسفل ; ساتشابفيرشيم -- مكانة في التقسيم الإداري -- الراين الأسفل ; ساتشابفيرشيم -- حالة خاصة من -- بلديات فرنسا ; ساتشابفيرشيم -- الرمز البريدي -- 67150 ; ساتشابفيرشيم -- يشترك في الحدود مع -- بولسينهيم ; ساتشابفيرشيم -- يشترك في الحدود مع -- إرستين ; ساتشابفيرشيم -- يشترك في الحدود مع -- ليميرشيم ; ساتشابفيرشيم -- يشترك في الحدود مع -- ميستراتزهيم ; ساتشابفيرشيم -- المنطقة الزمنية -- ت ع م+01:00 ;
24_q	دليل المسافر إلى المجرة (بالإنجليزية: (كلمة ناقصة)) هو فيلم كوميدي تم إنتاجه في الولايات المتحدة وصدر في سنة (عام). 
24_q_triples	 دليل المسافر إلى المجرة -- مأخوذ عن -- دليل المسافر إلى المجرة ; دليل المسافر إلى المجرة -- المخرج -- Garth Jennings ; دليل المسافر إلى المجرة -- كاتب السيناريو -- Karey Kirkpatrick ; دليل المسافر إلى المجرة -- كاتب السيناريو -- دوغلاس آدمز ; دليل المسافر إلى المجرة -- حالة خاصة من -- فيلم ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- زوي ديسكانل ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- ياسين باي ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- سام روكويل ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- بيل ناي ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- Anna Chancellor ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- جون مالكوفيتش ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- آلان ريكمان ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- Warwick Davis ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- ستيفن فراي ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- هيلين ميرين ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- ريتشارد جريفيثز ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- كيلي ماكدونالد ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- جيسن شوارتزمن ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- مارتن فريمان ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- إدغار رايت ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- Garth Jennings ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- إيان ماكنيس ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- Mak Wilson ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- Peter Burroughs ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- سيمون جونز ; دليل المسافر إلى المجرة -- عضو طاقم تمثيل -- توماس لينون ; دليل المسافر إلى المجرة -- المنتج -- Gary Barber ; دليل المسافر إلى المجرة -- المنتج -- جاي روتش ; دليل المسافر إلى المجرة -- المنتج -- Roger Birnbaum ; دليل المسافر إلى المجرة -- المنتج -- Jonathan Glickman ; دليل المسافر إلى المجرة -- المنتج -- Nick Goldsmith ; دليل المسافر إلى المجرة -- شركة الإنتاج -- Spyglass Entertainment ; دليل المسافر إلى المجرة -- شركة الإنتاج -- Garth Jennings ; دليل المسافر إلى المجرة -- شركة الإنتاج -- توتشستون بيكشرز ; دليل المسافر إلى المجرة -- بلد المنشأ -- المملكة المتحدة ; دليل المسافر إلى المجرة -- بلد المنشأ -- الولايات المتحدة الأمريكية ; دليل المسافر إلى المجرة -- النوع الفني -- فيلم ما بعد الكارثة ; دليل المسافر إلى المجرة -- النوع الفني -- comic science fiction ; دليل المسافر إلى المجرة -- النوع الفني -- فيلم مغامرة ; دليل المسافر إلى المجرة -- النوع الفني -- فيلم مقتبس ; دليل المسافر إلى المجرة -- النوع الفني -- فيلم خيال علمي ; دليل المسافر إلى المجرة -- النوع الفني -- فيلم كوميديا ; دليل المسافر إلى المجرة -- اللغة الأصلية للعمل -- الإنجليزية ; دليل المسافر إلى المجرة -- موقع التصوير -- منطقة جزر الكناري ; دليل المسافر إلى المجرة -- الموضوع الرئيسي -- حياة خارج الأرض ; دليل المسافر إلى المجرة -- العنوان -- The ; دليل المسافر إلى المجرة -- المونتير -- Niven Howie ; دليل المسافر إلى المجرة -- الملحن -- Joby Talbot ; دليل المسافر إلى المجرة -- الراوي -- ستيفن فراي ; دليل المسافر إلى المجرة -- لون هذا العنصر -- فيلم بالألوان ; دليل المسافر إلى المجرة -- الموزع -- إنتركوم ; دليل المسافر إلى المجرة -- مأخوذ عن عمل لـ -- دوغلاس آدمز ;
